trial,output,is_mikan,timestamp
19,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:46:17.701715
20,"「うみ」の最後は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

気",True,2026-04-21T04:46:20.396057
21,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:46:22.946103
22,"「み」から始まる言葉ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです😅",True,2026-04-21T04:46:25.679646
23,"「み」から始まる言葉ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

もう一",True,2026-04-21T04:46:28.284495
24,"「み」から始まる言葉ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです😅",True,2026-04-21T04:46:30.694386
25,"「うみ」の最後は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

気",True,2026-04-21T04:46:33.099792
26,"「うみ」の最後の文字は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負",True,2026-04-21T04:46:35.786971
27,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:46:38.636430
28,"「うみ」の最後は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

気",True,2026-04-21T04:46:41.161873
29,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:46:44.471585
30,"「うみ」の最後の文字は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:46:47.173247
31,"「うみ」の最後は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

気",True,2026-04-21T04:46:50.229107
32,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:46:52.915644
33,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:46:55.604112
34,"「み」から始まる言葉ですね！

**みかん**

あっ、しまった！「ん」で終わってしまいました！私の負けです😅",True,2026-04-21T04:46:58.203773
35,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:47:00.812647
36,"「うみ」の最後は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

気",True,2026-04-21T04:47:03.778244
37,"「うみ」の最後は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

気",True,2026-04-21T04:47:06.255743
38,"「み」から始まる言葉ですね！

**みかん**

あ、「ん」で終わってしまいました！私の負けです😅

気を取り",True,2026-04-21T04:47:08.817635
39,"「うみ」の最後は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

気",True,2026-04-21T04:47:11.234530
40,"「うみ」の最後は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

気",True,2026-04-21T04:47:13.840256
41,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:47:16.280117
42,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:47:19.483450
43,"「うみ」の最後の文字は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負",True,2026-04-21T04:47:22.164074
44,"「み」から始まる言葉ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

もう一",True,2026-04-21T04:47:27.309838
45,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:47:30.089585
46,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:47:32.614659
47,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:47:35.431864
48,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:47:37.955165
49,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:47:40.433142
50,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:47:43.883304
